"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ALNENJ4C","book","2012","Hammond, Wayne G.; Tolkien, J. R. R.; Scull, Christina","The art of the Hobbit by J.R.R. Tolkien","","978-0-547-92825-8","","","","Tolkien's complete artwork for ""The Hobbit, "" presented for the first time in celebration of the 75th anniversary, includes related pictures, more than 100 sketches, drawings, paintings, maps, and plans","2012","2025-04-21 14:33:54","2025-05-08 15:18:01","","","143","","","","","","","","","","Houghton Mifflin Harcourt","Boston","","","","","","Library Catalog (Blacklight)","N6797.T64 H35 2012","OCLC: 788236030","","","https://catalog.libraries.psu.edu/catalog/9172672","interlibrary","Criticism and interpretation; Hobbit; Illustrations; John Ronald Reuel; Middle Earth (Imaginary place) in art; Tolkien, J. R. R","","","","","","","","","","","","","","","","","","","","1st U.S. ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TL49N98S","book","1987","Powell, Cecilia","Turner in the South: Rome, Naples, Florence","","978-0-300-03870-5","","","","","1987","2025-04-21 14:35:35","2025-05-08 15:18:10","","","216","","","","","Turner in the South","","","","","Published for the Paul Mellon Centre for Studies in British Art by Yale University Press","New Haven","","","","","","Library Catalog (Blacklight)","N6797.T88 P68 1987","","","","https://catalog.libraries.psu.edu/catalog/1113372","interlibrary","Criticism and interpretation; Description and travel; In art; Italy; Joseph Mallord William; Travel; Turner, J. M. W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4UQYP8N9","book","1976","Trevor-Roper, H. R.","Princes and artists: patronage and ideology at four Habsburg courts, 1517-1633","","978-0-06-014362-6","","","","","1976","2025-04-21 14:36:31","2025-05-08 15:17:45","","","176","","","","","Princes and artists","Yaseen lectures","1","","","Harper & Row","New York","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/846179","interlibrary","1517-1648; Art patronage; Art, Renaissance; Europe; Habsburg, House of; History","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4AIXIF59","book","2000","Dixon, Christine; National Gallery of Australia","Secession: modern art and design in Austria and Germany 1890s-1920s","","978-0-642-54194-9","","","","","2000","2025-04-21 14:37:52","2025-05-08 15:17:55","","","48","","","","","Secession","","","","","National Gallery of Australia","Canberra","","","","","","Library Catalog (Blacklight)","","OCLC: 48021335","","","https://catalog.libraries.psu.edu/catalog/2279893","interlibrary","19th century; 20th century; Art, Austrian; Art, German; Art, Modern; Austria; Exhibitions; Germany; Verein Bildender Künstler Münchens ""Secession.""; Wiener Secession","","","","National Gallery of Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YPHKQBKS","book","2005","","Vienna 1900: Klimt, Schiele, Moser, Kokoschka","","978-0-85331-934-4 978-2-7118-5003-7","","","","","2005","2025-04-21 14:39:55","2025-05-08 15:18:16","","","363","","","","","Vienna 1900","","","","","Editions de la Réunion des musées nationaux ; In association with Lund Humphries","Paris : Aldershot, UK ; Burlington, VT","","","","","","Library Catalog (Blacklight)","759.36","OCLC: 63699302","","","https://catalog.libraries.psu.edu/catalog/3000240","interlibrary","19th century; 20th century; Art, Austrian; Austria Vienna; Criticism and interpretation; Exhibitions; Klimt, Gustav; Kokoschka, Oskar; Moser, Koloman; Schiele, Egon","Lemoine, Serge; Salm-Salm, Marie-Amélie zu; Réunion des musées nationaux (France)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DW82SSKA","book","2001","Klimt, Gustav; Bailey, Colin B.; Collins, John; National Gallery of Canada","Gustav Klimt, modernism in the making","","978-0-88884-718-8 978-0-8109-3524-2","","","","","2001","2025-04-21 14:40:33","2025-05-08 15:17:35","","","239","","","","","","","","","","H.N. Abrams in association with National Gallery of Canada, Ottawa","New York","","","","","","Library Catalog (Blacklight)","N6811.5.K55 A4 2001","OCLC: 46315032","","","https://catalog.libraries.psu.edu/catalog/2206629","interlibrary","Art nouveau; Austria Vienna; Exhibitions; Klimt, Gustav","","","","National Gallery of Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IN288JAF","book","2005","Schiele, Egon; Price, Renée; Comini, Alessandra; Lauder, Ronald S.; Sabarsky, Serge; Kallir, Jane; Kallir, Otto; Messer, Thomas M.; Schorske, Carl E.; Lillie, Sophie; Natter, Tobias G.; Neue Galerie New York","Egon Schiele: the Ronald S. Lauder and Serge Sabarsky collections","","978-3-7913-3390-8","","","","","2005","2025-04-21 14:41:24","2025-05-08 15:17:24","","","504","","","","","Egon Schiele","","","","","Prestel","Munich ; New York","","","","","","Library Catalog (Blacklight)","N6811.5.S34 A4 2005","OCLC: 62227851","","","https://catalog.libraries.psu.edu/catalog/3438700","interlibrary","20th century; Art collections; Art, Modern; Austria; Criticism and interpretation; Exhibitions; Expressionism (Art); Lauder, Ronald S; Sabarsky, Serge; Schiele, Egon","","","","Neue Galerie New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFY8343N","book","2011","Schiele, Egon; Husslein-Arco, Agnes; Kallir, Jane","Egon Schiele: self-portraits and portraits","","978-3-7913-5109-4 978-3-7913-6338-7 978-3-7913-5108-7","","","","Egon Schiele (1890-1918) is one of the most important Austrian artists of the twentieth century. This publication, produced to accompany an exhibition in the Belvedere, Vienna, is the first to focus on his portraits and self-portraits. Schiele was influenced by Gustav Klimt during his early career but soon discovered his own mode of expression. By the time of his premature death he had created an impressive oeuvre that concentrates on the depiction of the human figure. In his portraits, Schiele tried to portray his models' state of mind in visual terms, thereby following contemporary developments in psychoanalysis. His numerous self-portraits attest to the fact that the artist embarked on his exploration of human emotions by observing his own personality. Some 100 portraits and self-portraits document Schiele's artistic development and his extraordinary accomplishments as a portraitist. Confrontational and often explicitly erotic, they repeatedly provoked protest by testing the boundaries of traditional portraiture. Largely devoid of props or scenery, they reflect the artist's intensive study of the portrayal of emotional states. Schiele's examination of the self began with his own person: his self-portraits are fascinating glimpses inside the mind of an extraordinarily gifted artist as well as seminal works of originality and deep empathy with the human condition","2011","2025-04-21 14:42:05","2025-05-08 15:17:13","","","263","","","","","Egon Schiele","","","","","Prestel","Munich ; New York","","","","","","Library Catalog (Blacklight)","N6811.5.S34 A4 2011","","","","https://catalog.libraries.psu.edu/catalog/7518119","interlibrary","Criticism and interpretation; Exhibitions; Schiele, Egon; Schloss Belvedere (Vienna, Austria); Self-portraits Exhibitions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FP4EGBBF","book","2014","","Egon Schiele: portraits","","978-3-7913-5419-4","","","","This book accompanies a major exhibition devoted to portraits created by Austrian artist Egon Schiele, whose figurative work exhibits intense emotion and technical brilliance. Egon Schiele (1890-1918) was one of the greatest artists of the twentieth century. A superb draftsman and colorist, he produced images of startling emotional power. Following the lead of his mentor, Gustav Klimt, Schiele created figurative works of uncanny intimacy and brought a new openness to the art of his time. Schiele's premature death at the age of 28 has added a mythic quality to his artistic achievements. Egon Schiele: Portraits focuses on five groupings of the artist's work: family and academy, fellow artists, sitters and patrons, lovers, and allegory. In addition, it features a special section on a traumatic and pivotal period in Schiele's life: his arrest and imprisonment during the summer of 1912. Documenting the artist's changing style, both pre- and post-imprisonment, the book features many key works that have been assembled for this exhibition from both American and European museums and private collections","2014","2025-04-21 14:42:42","2025-05-08 15:17:04","","","295","","","","","Egon Schiele","","","","","Prestel ; Neue Galerie","Munich : New York","","","","","","Library Catalog (Blacklight)","N6811.5.S34 A4 2014","OCLC: 892303544","","","https://catalog.libraries.psu.edu/catalog/13410715","interlibrary","1900 - 1999; 20th century; Exhibition catalogs; Exhibitions; Portraits, Austrian; Schiele, Egon; Themes, motives","Comini, Alessandra; Lauder, Ronald S.; Price, Renée; Bauer, Christian; Schiele, Egon; Neue Galerie New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5TUYJZQX","book","2014","","Egon Schiele: the radical nude","","978-1-907372-69-8","","","","","2014","2025-04-21 14:43:13","2025-05-08 15:17:19","","","160","","","","","Egon Schiele","","","","","Paul Holberton Publishing","London","","","","","","Library Catalog (Blacklight)","N6811.5.S34 A4x 2014","OCLC: 894197676","","","https://catalog.libraries.psu.edu/catalog/13848927","interlibrary","1900 - 1999; 20th century; Exhibition catalogs; Exhibitions; Nude in art; Schiele, Egon","Vergo, Peter; Wright, Barnaby; Blackshaw, Gemma; Simpson, Kathryn; Courtauld Institute Galleries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
